w, 6.85
w, 7.28
w, 9
w, 9.42
w, 11.14
w, 11.57
w, 12.85
w, 13.71
w, 14.14
w, 15.85
w, 16.28
w, 18
w, 18.42
w, 19.71
w, 20.57
w, 21.2
w, 21.6
w, 22
w, 22.71
w, 23.14
w, 23.8
w, 24.42
w, 25
w, 25.5
w, 26.14
w, 26.8
w, 27.42
w, 28
w, 28.5
w, 28.9
w, 29.57
w, 30
w, 30.6
w, 31.28
w, 31.9
w, 32.3
w, 33
w, 33.6
w, 34.28
w, 34.9
w, 35.3
w, 35.7
w, 36.42
w, 36.85
w, 37.5
w, 37.9
w, 38.14
w, 38.75
w, 39.20
w, 39.85
w, 40.5
w, 40.9
w, 41.14
w, 42
w, 42.85
w, 43.71
w, 44.57
w, 45.42
w, 46.28
w, 47.14
w, 48
w, 48.85
w, 49.71
w, 50.57
w, 51.42
w, 52.28
w, 53.14
w, 54
w, 54.85
w, 55.71
w, 56.57
w, 57.42
w, 58.28
w, 59.14
w, 60
w, 60.85
w, 61.71
w, 62.3
w, 62.7
w, 63.2
w, 63.85
w, 64.28
w, 64.9
w, 65.3
w, 66.2
w, 66.6
w, 67.28
w, 67.9
w, 68.57
w, 69
w, 70.71
w, 71.14
w, 72.85
w, 73.28
w, 74.57
End
